Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_standardized,Close_log,Day_of_Week,Month,Quarter,Year,Close_Lagged_1,Close_Lagged_2,Close_Lagged_3,Close_Lagged_4,Close_Lagged_5,SMA_30,SMA_60,RSI,MACD,Signal_Line
2021-04-22,965.491052974881,991.0425862320844,960.7785102797552,984.9907836914062,325540.0,0.0,0.0,-0.1201872392005858,6.893647007389991,3,4,2,2021,981.5875854492188,981.5875854492188,946.5960083007812,981.7224731445312,974.261474609375,958.0218424479167,974.7394204711914,51.307570710888534,3.903581449395915,0.3930243827479962
2021-04-23,971.9876404896768,1013.13593308386,971.9876404896768,991.3824462890624,365370.0,0.0,0.0,-0.1054070905598306,6.900108563520401,4,4,2,2021,984.9907836914062,981.5875854492188,981.5875854492188,946.5960083007812,981.7224731445312,957.9208964029948,976.7361184692382,59.58296725378163,5.291962670424937,1.3728120402833843
2021-04-26,995.1754069050564,1011.5367771491632,989.4783978682456,999.3281860351562,176990.0,0.0,0.0,-0.0870332773752784,6.908083411176036,0,4,2,2021,991.3824462890624,984.9907836914062,981.5875854492188,981.5875854492188,946.5960083007812,958.9716735839844,978.4706867980956,60.42580264267045,6.953266653307878,2.4889029628882833
2021-04-27,994.4757773817172,1011.9815641237848,994.4757773817172,1008.0386352539062,84860.0,0.0,0.0,-0.0668911418645452,6.916753310258704,1,4,2,2021,999.3281860351562,991.3824462890624,984.9907836914062,981.5875854492188,981.5875854492188,960.5600016276042,979.4913156636557,61.5733375138337,8.87046923679668,3.7652162176699626
2021-04-28,1022.9607868049836,1061.0356878345697,1015.4447290653876,975.635968017578,400860.0,0.0,0.0,-0.1418194145624001,6.884113980785092,2,4,2,2021,1008.0386352539062,999.3281860351562,991.3824462890624,984.9907836914062,981.5875854492188,961.2817966715495,979.8744503275555,52.06157204281884,7.686634908862402,4.54949995590845
2021-04-29,1054.4441989368752,1129.3696712901735,1052.9499914214657,982.6042938232422,810730.0,0.0,0.0,-0.1257057837799032,6.891223675748575,3,4,2,2021,975.635968017578,1008.0386352539062,999.3281860351562,991.3824462890624,984.9907836914062,962.6199980672201,980.0620558675131,53.85200321534422,7.227410244307407,5.0850820135882415
2021-04-30,1099.4204161680614,1121.888552061155,1086.3972523205591,988.8474975585938,366090.0,0.0,0.0,-0.1112689329929339,6.897550888392707,4,4,2,2021,982.6042938232422,975.635968017578,1008.0386352539062,999.3281860351562,991.3824462890624,964.1221635945639,980.3555468750001,66.5713826443066,7.283288537355929,5.524723318341779
2021-05-03,1099.3205640969782,1110.174828082584,1070.4757830511633,1104.197998046875,152220.0,0.0,0.0,0.1554687924351098,7.00777978165319,0,5,2,2021,988.8474975585938,982.6042938232422,975.635968017578,1008.0386352539062,999.3281860351562,969.5829525756836,983.5285042826334,72.80874258354048,16.445816714309785,7.708941997535382
2021-05-04,1119.4098981494,1121.698730643785,1086.787080762612,1098.31103515625,237120.0,0.0,0.0,0.1418557167702656,7.002438930882701,1,5,2,2021,1104.197998046875,988.8474975585938,982.6042938232422,975.635968017578,1008.0386352539062,974.8768287150066,985.2754159037272,71.26191904872898,22.96740366834831,10.760634331697968
2021-05-05,1099.4205264447032,1117.9107807530916,1090.9700244113294,1110.2947998046875,181770.0,0.0,0.0,0.1695671017305239,7.0132811008003655,2,5,2,2021,1098.31103515625,1104.197998046875,988.8474975585938,982.6042938232422,975.635968017578,981.2438066609701,986.7311501566569,74.04558313330678,28.771142152232756,14.362735895804928
