Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-07-29 00:00:00+05:30,560.2205582879833,560.2205582879833,546.4117704830837,547.5006103515625,63132,0.0,0.0
2019-07-30 00:00:00+05:30,544.4319865372295,555.1226389166909,541.8087900715564,543.1946411132812,224626,0.0,0.0
2019-07-31 00:00:00+05:30,543.4421588597868,548.1935536297532,536.166591282394,544.6795043945312,87899,0.0,0.0
2019-08-01 00:00:00+05:30,543.838118662005,545.8178714632248,533.4938981921789,542.1058349609375,79956,0.0,0.0
2019-08-02 00:00:00+05:30,541.9573059393035,557.9933150204113,536.8099367948759,550.8167114257812,142288,0.0,0.0
2019-08-05 00:00:00+05:30,549.3814148935386,549.3814148935386,537.3049104466605,540.6210327148438,123135,0.0,0.0
2019-08-06 00:00:00+05:30,541.4623711530934,546.4117529735056,538.6412476823618,543.7390747070312,64558,0.0,0.0
2019-08-07 00:00:00+05:30,545.2238924123357,545.2238924123357,509.8852939263792,513.201416015625,375989,0.0,0.0
2019-08-08 00:00:00+05:30,514.7357398343373,535.9191194482707,511.32065409236867,534.038330078125,140552,0.0,0.0
2019-08-09 00:00:00+05:30,536.5130254934882,542.5017658163744,524.8819774315906,540.1260986328125,199407,0.0,0.0
2019-08-13 00:00:00+05:30,544.234010984097,544.234010984097,504.83694391496874,507.1136474609375,184081,0.0,0.0
2019-08-14 00:00:00+05:30,511.76608539837156,520.6254910298223,497.7593407468925,518.101318359375,212199,0.0,0.0
2019-08-16 00:00:00+05:30,518.6952580216233,526.0203678934142,510.7762464487741,522.2587890625,95944,0.0,0.0
2019-08-19 00:00:00+05:30,522.6547505029771,530.3757745065004,513.0034553942573,515.1317138671875,137753,0.0,0.0
2019-08-20 00:00:00+05:30,518.7447256665646,529.3364154409342,512.5579980433653,522.5557861328125,161262,0.0,0.0
2019-08-21 00:00:00+05:30,524.1395753683389,530.0788340127393,513.052947148672,515.3296508789062,148305,0.0,0.0
2019-08-22 00:00:00+05:30,519.685097221259,519.685097221259,504.49048881315906,506.9652099609375,129819,0.0,0.0
